K,ACC,,,,,
1,76.85836515,,,,,
1.1,76.87529217,,,,,
1.2,76.9022908,,,,,
1.3,76.917244,,,,,
1.4,76.92290686,,,,,
1.5,76.92929092,,,,,77.93528373
1.6,76.93285253,,,,,
1.7,76.95199578,,,,,
1.8,76.98180438,,,,,
1.9,76.99181051,,,,,
2,77.00814971,,,,,
2.1,77.01498173,,,,,
2.2,77.01193157,,,,,
2.3,77.01936236,,,,,
2.4,77.14223387,,,,,
2.5,77.26938044,,,,,
2.6,77.25616434,,,,,
2.7,77.28868195,,,,,
2.8,77.29529372,,,,,
2.9,77.32897506,,,,,
3,77.32991109,,,,,
3.1,77.33588003,,,,,
3.2,77.33800666,,,,,
3.3,77.34194328,,,,,
3.4,77.34678711,,,,,
3.5,77.35310225,,,,,
3.6,77.34983183,,,,,
3.7,77.38145949,,,,,
3.8,77.37840932,,,,,
3.9,77.41362041,,,,,
4,77.43715719,,,,,
4.1,77.45522255,,,,,
4.2,77.46262103,,,,,
4.3,77.48199549,,,,,
4.4,77.47885646,,,,,
4.5,77.49655426,,,,,
4.6,77.51274212,,,,,
4.7,77.53271386,,,,,
4.8,77.54229741,,,,,
4.9,77.53300706,,,,,
5,77.55275855,,,,,
5.1,77.55565939,,,,,
5.2,77.5701432,,,,,
5.3,77.56673092,,,,,
5.4,77.56025053,,,,,
5.5,77.56990502,,,,,
5.6,77.57247215,,,,,
5.7,77.59266214,,,,,
5.8,77.57836614,,,,,
5.9,77.58547142,,,,,
6,77.5987659,,,,,
6.1,77.59722022,,,,,
6.2,77.6107805,,,,,
6.3,77.63352714,,,,,
6.4,77.64382445,,,,,
6.5,77.64600953,,,,,
6.6,77.6394177,,,,,
6.7,77.64457455,,,,,
6.8,77.64109133,,,,,
6.9,77.63761859,,,,,
7,77.63655118,,,,,
7.1,77.65707688,,,,,
7.2,77.65969702,,,,,
7.3,77.64604385,,,,,
7.4,77.64648436,,,,,
7.5,77.64457455,,,,,
7.6,77.66149613,,,,,
7.7,77.68564147,,,,,
7.8,77.67917902,,,,,
7.9,77.68940741,,,,,
8,77.68257538,,,,,
8.1,77.68193255,,,,,
8.2,77.67439221,,,,,
8.3,77.68418856,,,,,
8.4,77.66678597,,,,,
8.5,77.67956155,,,,,
8.6,77.67730555,,,,,
8.7,77.65997933,,,,,
8.8,77.66062216,,,,,
8.9,77.66055123,,,,,
9,77.6585498,,,,,
9.1,77.64715063,,,,,
9.2,77.66108994,,,,,
9.3,77.65789791,,,,,
9.4,77.65819655,,,,,
9.5,77.66807129,,,,,
9.6,77.66755784,,,,,
9.7,77.67632929,,,,,
9.8,77.69308906,,,,,
9.9,77.69173046,,,,,
10,77.69158114,,,,,
10.1,77.68328525,,,,,
10.2,77.68392063,,,,,
10.3,77.69003144,,,,,
10.4,77.69394469,,,,,
10.5,77.70367011,,,,,
10.6,77.70908583,,,,,
10.7,77.72271905,,,,,
10.8,77.73281404,,,,,
10.9,77.71677549,,,,,
11,77.73267218,,,,,
11.1,77.73217666,,,,,
11.2,77.74821521,,,,,
11.3,77.76064459,,,,,
11.4,77.77364043,,,,,
11.5,77.77923779,,,,,
11.6,77.78250821,,,,,
11.7,77.80056813,,,,,
11.8,77.78212224,,,,,
11.9,77.79910226,,,,,
12,77.79555858,,,,,
12.1,77.78904313,,,,,
12.2,77.78577272,,,,,
12.3,77.77762615,,,,,
12.4,77.79401835,,,,,
12.5,77.79124144,,,,,
12.6,77.80475073,,,,,
12.7,77.8057452,,,,,
12.8,77.81314367,,,,,
12.9,77.80683054,,,,,
13,77.82415676,,,,,
13.1,77.82574105,,,,,
13.2,77.83524421,,,,,
13.3,77.83532259,,,,,
13.4,77.83205761,,,,,
13.5,77.82631094,,,,,
13.6,77.84351322,,,,,
13.7,77.83435425,,,,,
13.8,77.84509408,,,,,
13.9,77.84125721,,,,,
14,77.84544371,,,,,
14.1,77.84581328,,,,,
14.2,77.84021592,,,,,
14.3,77.83531365,,,,,
14.4,77.8257301,,,,,
14.5,77.8366118,,,,,
14.6,77.86339763,,,,,
14.7,77.86673898,,,,,
14.8,77.87698329,,,,,
14.9,77.87626752,,,,,
15,77.86611752,,,,,
15.1,77.86292549,,,,,
15.2,77.86529105,,,,,
15.3,77.85897792,,,,,
15.4,77.85976462,,,,,
15.5,77.87441226,,,,,
15.6,77.86077158,,,,,
15.7,77.86440613,,,,,
15.8,77.86134004,,,,,
15.9,77.86519485,,,,,
16,77.86249632,,,,,
16.1,77.86583768,,,,,
16.2,77.86497258,,,,,
16.3,77.86069521,,,,,
16.4,77.86765116,,,,,
16.5,77.86878951,,,,,
16.6,77.86814668,,,,,
16.7,77.85037251,,,,,
16.8,77.8934924,,,,,
16.9,77.9054415,,,,,
17,77.90189783,,,,,
17.1,77.90885379,,,,,
17.2,77.90516281,,,,,
17.3,77.90872442,,,,,
17.4,77.93174118,,,,,
17.5,77.9281975,,,,,
17.6,77.89549975,,,,,
17.7,77.90681147,,,,,
17.8,77.91626364,,,,,
17.9,77.90886516,,,,,
18,77.93528373,,,,,
18.1,77.91604569,,,,,
18.2,77.90438233,,,,,
18.3,77.90168582,,,,,
18.4,77.90168582,,,,,
18.5,77.90508017,,,,,
18.6,77.90658809,,,,,
18.7,77.91441939,,,,,
18.8,77.89659222,,,,,
18.9,77.89433621,,,,,
19,77.88858953,,,,,
19.1,77.86507412,,,,,
19.2,77.85324894,,,,,
19.3,77.8433742,,,,,
19.4,77.84431023,,,,,
19.5,77.86475985,,,,,
19.6,77.85807715,,,,,
19.7,77.85857267,,,,,
19.8,77.84557683,,,,,
19.9,77.84983627,,,,,
20,77.84359408,,,,,
20.1,77.83735188,,,,,
20.2,77.84809171,,,,,
20.3,77.84788939,,,,,
20.4,77.84149787,,,,,
20.5,77.86348229,,,,,
20.6,77.85701984,,,,,
20.7,77.85389874,,,,,
20.8,77.85724009,,,,,
20.9,77.85652633,,,,,
21,77.85696885,,,,,
21.1,77.85798125,,,,,
21.2,77.85840382,,,,,
21.3,77.83837364,,,,,
21.4,77.83438745,,,,,
21.5,77.850386,,,,,
21.6,77.8472649,,,,,
21.7,77.84399448,,,,,
21.8,77.84733584,,,,,
21.9,77.85849824,,,,,
22,77.85480525,,,,,
22.1,77.86495868,,,,,
22.2,77.87206396,,,,,
22.3,77.87867573,,,,,
22.4,77.86844935,,,,,
22.5,77.86454155,,,,,
22.6,77.85800816,,,,,
22.7,77.85132546,,,,,
22.8,77.86446748,,,,,
22.9,77.85691969,,,,,
23,77.85379859,,,,,
23.1,77.84276757,,,,,
23.2,77.83623419,,,,,
23.3,77.83667469,,,,,
23.4,77.8459596,,,,,
23.5,77.85001673,,,,,
23.6,77.85335808,,,,,
23.7,77.86016472,,,,,
23.8,77.86016472,,,,,
23.9,77.85994447,,,,,
24,77.85313037,,,,,
24.1,77.84340496,,,,,
24.2,77.83738502,,,,,
24.3,77.82701477,,,,,
24.4,77.86083181,,,,,
24.5,77.87135139,,,,,
24.6,77.88142844,,,,,
24.7,77.87730039,,,,,
24.8,77.88115841,,,,,
24.9,77.87361061,,,,,
25,77.86938846,,,,,
25.1,77.86176651,,,,,
25.2,77.84471355,,,,,
25.3,77.84406871,,,,,
25.4,77.83115126,,,,,
25.5,77.83860818,,,,,
25.6,77.83308175,,,,,
25.7,77.83308175,,,,,
25.8,77.83263923,,,,,
25.9,77.84650016,,,,,
26,77.84097374,,,,,
26.1,77.82973839,,,,,
26.2,77.83293042,,,,,
26.3,77.85622789,,,,,
26.4,77.85622789,,,,,
26.5,77.86291059,,,,,
26.6,77.85580531,,,,,
26.7,77.84499455,,,,,
26.8,77.85464904,,,,,
26.9,77.86175431,,,,,
27,77.86175431,,,,,
27.1,77.86487541,,,,,
27.2,77.87198069,,,,,
27.3,77.88205775,,,,,
27.4,77.8786634,,,,,
27.5,77.87489947,,,,,
27.6,77.86836609,,,,,
27.7,77.86858634,,,,,
27.8,77.86816377,,,,,
27.9,77.851404,,,,,
28,77.85189751,,,,,
28.1,77.85486929,,,,,
28.2,77.85558506,,,,,
28.3,77.86588237,,,,,
28.4,77.86254102,,,,,
28.5,77.85877709,,,,,
28.6,77.857912,,,,,
28.7,77.85152048,,,,,
28.8,77.86049013,,,,,
28.9,77.84692784,,,,,
29,77.85069177,,,,,
29.1,77.84757067,,,,,
29.2,77.85113228,,,,,
29.3,77.83771387,,,,,
29.4,77.85469589,,,,,
29.5,77.85845982,,,,,
29.6,77.85910466,,,,,
29.7,77.86264833,,,,,
29.8,77.85596563,,,,,
29.9,77.84631114,,,,,
30,77.84296979,,,,,
30.1,77.85255334,,,,,
30.2,77.84958156,,,,,
30.3,77.84673372,,,,,
30.4,77.84601794,,,,,
30.5,77.84601794,,,,,
30.6,77.84913904,,,,,
30.7,77.84297523,,,,,
30.8,77.85277904,,,,,
30.9,77.83522712,,,,,
31,77.82463662,,,,,
31.1,77.82485687,,,,,
31.2,77.81477981,,,,,
31.3,77.81158778,,,,,
31.4,77.81158778,,,,,
31.5,77.80831736,,,,,
31.6,77.79866288,,,,,
31.7,77.80967596,,,,,
31.8,77.81571584,,,,,
31.9,77.81613841,,,,,
32,77.81940883,,,,,
32.1,77.82745335,,,,,
32.2,77.82091997,,,,,
32.3,77.85131727,,,,,
32.4,77.84082086,,,,,
32.5,77.84373964,,,,,
32.6,77.84628885,,,,,
32.7,77.85358232,,,,,
32.8,77.84444129,,,,,
32.9,77.84466154,,,,,
33,77.84851957,,,,,
33.1,77.84539847,,,,,
33.2,77.84227737,,,,,
33.3,77.8461354,,,,,
33.4,77.84707142,,,,,
33.5,77.85424964,,,,,
33.6,77.84771626,,,,,
33.7,77.84061098,,,,,
33.8,77.83748988,,,,,
33.9,77.83414853,,,,,
34,77.83756082,,,,,
34.1,77.83713824,,,,,
34.2,77.83067579,,,,,
34.3,77.83379689,,,,,
34.4,77.8272635,,,,,
34.5,77.82550846,,,,,
34.6,77.81528208,,,,,
34.7,77.80775423,,,,,
34.8,77.80775423,,,,,
34.9,77.80463313,,,,,
35,77.80782516,,,,,
35.1,77.80846799,,,,,
35.2,77.80846799,,,,,
35.3,77.81274537,,,,,
35.4,77.8004653,,,,,
35.5,77.78660437,,,,,
35.6,77.81333519,,,,,
35.7,77.81810809,,,,,
35.8,77.80680181,,,,,
35.9,77.80972059,,,,,
36,77.80595666,,,,,
36.1,77.80879705,,,,,
36.2,77.80587827,,,,,
36.3,77.80602759,,,,,
36.4,77.79622379,,,,,
36.5,77.79238893,,,,,
36.6,77.79515839,,,,,
36.7,77.8023346,,,,,
36.8,77.81198909,,,,,
36.9,77.80011091,,,,,
37,77.8066443,,,,,
37.1,77.80983633,,,,,
37.2,77.79577308,,,,,
37.3,77.80493406,,,,,
37.4,77.8021646,,,,,
37.5,77.817528,,,,,
37.6,77.8404559,,,,,
37.7,77.83711455,,,,,
37.8,77.83377319,,,,,
37.9,77.83746619,,,,,
38,77.84471534,,,,,
38.1,77.84471534,,,,,
38.2,77.84855221,,,,,
38.3,77.83781238,,,,,
38.4,77.85167331,,,,,
38.5,77.84100442,,,,,
38.6,77.84434577,,,,,
38.7,77.84869609,,,,,
38.8,77.85515854,,,,,
38.9,77.85253296,,,,,
39,77.84280754,,,,,
39.1,77.85020602,,,,,
39.2,77.83030722,,,,,
39.3,77.83307668,,,,,
39.4,77.83713381,,,,,
39.5,77.84047516,,,,,
39.6,77.84381651,,,,,
39.7,77.85049922,,,,,
39.8,77.85696167,,,,,
39.9,77.85218877,,,,,
40,77.84550607,,,,,
40.1,77.84572632,,,,,
40.2,77.83498649,,,,,
40.3,77.82852404,,,,,
40.4,77.82611871,,,,,
40.5,77.82314694,,,,,
40.6,77.82577453,,,,,
40.7,77.82902178,,,,,
40.8,77.8291711,,,,,
40.9,77.82597907,,,,,
41,77.82560949,,,,,
41.1,77.82895085,,,,,
41.2,77.82248839,,,,,
41.3,77.80600189,,,,,
41.4,77.80266053,,,,,
41.5,77.80585257,,,,,
41.6,77.81295785,,,,,
41.7,77.80379888,,,,,
41.8,77.79711617,,,,,
41.9,77.79043347,,,,,
42,77.78731237,,,,,
42.1,77.79681753,,,,,
42.2,77.78993251,,,,,
42.3,77.79035508,,,,,
42.4,77.79441221,,,,,
42.5,77.78418583,,,,,
42.6,77.773446,,,,,
42.7,77.76270617,,,,,
42.8,77.76923956,,,,,
42.9,77.76866766,,,,,
43,77.76156238,,,,,
43.1,77.75104281,,,,,
43.2,77.75082255,,,,,
43.3,77.75480874,,,,,
43.4,77.75829942,,,,,
43.5,77.76164077,,,,,
43.6,77.76142051,,,,,
43.7,77.75807916,,,,,
43.8,77.76866967,,,,,
43.9,77.75851624,,,,,
44,77.75247636,,,,,
44.1,77.74537108,,,,,
44.2,77.75239797,,,,,
44.3,77.75239797,,,,,
44.4,77.74195134,,,,,
44.5,77.73860999,,,,,
44.6,77.74855566,,,,,
44.7,77.74798377,,,,,
44.8,77.75132512,,,,,
44.9,77.74877592,,,,,
45,77.73825835,,,,,
45.1,77.74174902,,,,,
45.2,77.74551295,,,,,
45.3,77.7325955,,,,,
45.4,77.74056587,,,,,
45.5,77.73388316,,,,,
45.6,77.74410954,,,,,
45.7,77.74076819,,,,,
45.8,77.74205586,,,,,
45.9,77.73799873,,,,,
46,77.73799873,,,,,
46.1,77.73131603,,,,,
46.2,77.72797467,,,,,
46.3,77.7289107,,,,,
46.4,77.71690315,,,,,
46.5,77.70304222,,,,,
46.6,77.7028929,,,,,
46.7,77.70942628,,,,,
46.8,77.71036231,,,,,
46.9,77.71036231,,,,,
47,77.71036231,,,,,
47.1,77.70367961,,,,,
47.2,77.70353029,,,,,
47.3,77.712429,,,,,
47.4,77.71562103,,,,,
47.5,77.71547171,,,,,
47.6,77.70807323,,,,,
47.7,77.71141459,,,,,
47.8,77.71235061,,,,,
47.9,77.71987847,,,,,
48,77.71653711,,,,,
48.1,77.71560109,,,,,
48.2,77.71247999,,,,,
48.3,77.70928796,,,,,
48.4,77.7065185,,,,,
48.5,77.70275457,,,,,
48.6,77.70275457,,,,,
48.7,77.70275457,,,,,
48.8,77.69629212,,,,,
48.9,77.69629212,,,,,
49,77.69941322,,,,,
49.1,77.69941322,,,,,
49.2,77.7065185,,,,,
49.3,77.71376765,,,,,
49.4,77.70651306,,,,,
49.5,77.70274913,,,,,
49.6,77.70594116,,,,,
49.7,77.69485513,,,,,
49.8,77.69485513,,,,,
49.9,77.69151378,,,,,
50,77.69428324,,,,,
